,HHID,IWTime,SN,Age,Gender,M_Status,Class,S_Name,Occupation,livedOutside,Address,WhenMove,BirthPlace,MoveHereYear,Caste,Secondary,Brahmin-Chetri,Gurung-Magar-Tamang,Dalit,Newar,Tharu-Darai-Kumal,Other
906,2309081,0:08,1,50,0,1,5,0,3,1,0,-1,0,-1,6,0,0,0,0,0,0,1
911,2309082,0:06,1,43,1,1,7,0,5,0,0,-1,N56,2054-11,6,1,0,0,0,0,0,1
914,2309083,0:08,1,38,1,1,3,0,5,0,0,-1,N56,2061-08,6,0,0,0,0,0,0,1
920,2309084,0:06,1,51,1,1,0,0,5,0,0,-1,N56,2036-01,6,0,0,0,0,0,0,1
924,2309085,0:10,1,57,0,1,0,0,5,0,0,-1,N56,2036-01,6,0,0,0,0,0,0,1
929,2309086,0:06,1,42,1,1,5,0,5,0,0,-1,N56,2045-08,1,0,1,0,0,0,0,0
932,2309087,0:09,1,18,1,1,5,0,5,0,0,-1,N56,2078-01,6,0,0,0,0,0,0,1
937,2309088,0:11,1,55,0,1,5,0,5,1,0,-1,N10,2045-10,2,0,0,1,0,0,0,0
941,2309089,0:07,1,62,1,1,0,0,5,0,0,-1,N65,2033-11,6,0,0,0,0,0,0,1
945,2309092,0:04,1,65,0,1,1,0,5,0,0,-1,N56,2036-01,6,0,0,0,0,0,0,1
947,2309093,0:04,1,67,0,1,0,0,5,0,0,-1,N62,2036-09,4,0,0,0,0,1,0,0
948,2309094,0:10,1,63,1,3,0,0,5,0,0,-1,N10,2031,2,0,0,1,0,0,0,0
957,2309097,0:07,1,33,0,1,12,0,2,1,0,-1,F091,2066-12,1,1,1,0,0,0,0,0
961,2309098,0:10,1,28,1,1,10,0,5,0,0,-1,N68,2070-01,1,1,1,0,0,0,0,0
963,2309100,0:10,1,40,1,1,3,0,1,1,0,-1,0,-1,1,0,1,0,0,0,0,0
967,2309101,0:07,1,44,1,1,0,0,1,0,0,-1,F091,2066-10,3,0,0,0,1,0,0,0
971,2309102,0:05,1,56,1,3,0,0,0,0,0,-1,0,-1,3,0,0,0,1,0,0,0
